City,State,Employment,Employment per 1000 jobs,Location quotient,Hourly mean wage,Annual mean wage,Expected State Tax Bracket,Expected Federal Tax Bracket,Federal + State Tax for Bracket,Net Expected Profit,Net Expected Monthly Profit,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-Range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0.5 liter draught, in restaurants)","Imported Beer (0.33 liter bottle, in restaurants)","Cappuccino (regular, in restaurants)","Coke/Pepsi (0.33 liter bottle, in restaurants)","Water (0.33 liter bottle, in restaurants)","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),"Rice (white), (1kg)",Eggs (regular) (12),Local Cheese (1kg),Chicken Fillets (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Apples (1kg),Banana (1kg),Oranges (1kg),Tomato (1kg),Potato (1kg),Onion (1kg),Lettuce (1 head),"Water (1.5 liter bottle, at the market)","Bottle of Wine (Mid-Range, at the market)","Domestic Beer (0.5 liter bottle, at the market)","Imported Beer (0.33 liter bottle, at the market)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Gasoline (1 liter),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ","International Primary School, Yearly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, …)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",data_quality
Phoenix,Arizona,"2,860",0.94,0.87,$50.10 ,"$104,220.00 ",3.01,15.10,18.11,"$85,346 ","$7,112 ",$18.00,$70.00,$10.00,$6.00,$6.00,$5.14,$2.51,$1.86,$0.85,$3.15,$4.21,$3.55,$11.55,$10.22,$15.16,$4.59,$1.51,$3.73,$4.10,$2.89,$2.64,$1.64,$2.54,$15.00,$2.71,$3.75,$9.00,$2.12,$64.00,$3.00,$1.46,$36.00,$1.31,"$25,000.00","$26,428.57",$209.47,$0.10,$77.93,$34.37,$45.00,$12.00,$900.00,"$18,400.00",$46.09,$38.77,$78.86,$95.12,"$1,720.77","$1,476.19","$2,711.17","$2,238.52","$2,628.55","$2,357.30","$5,090.45",5.11,1
Seattle,Washington,"4,160",1.22,1.13,$67.68 ,"$140,780.00 ",0.00,17.41,17.41,"$116,270 ","$9,689 ",$20.00,$100.00,$11.00,$7.00,$8.00,$5.15,$2.48,$1.92,$1.12,$4.20,$5.13,$3.55,$17.30,$14.85,$17.37,$5.95,$2.71,$5.29,$6.64,$3.28,$3.31,$2.42,$1.96,$15.00,$3.15,$3.34,$10.50,$2.75,$99.50,$4.00,$1.68,$30.00,$1.40,"$25,500.00","$24,744.69",$222.43,$0.13,$70.41,$59.11,$33.00,$15.00,"$1,528.46","$27,142.86",$53.91,$44.95,$91.90,$117.00,"$2,274.95","$1,827.50","$4,128.43","$3,058.47","$6,873.21","$4,878.43","$6,292.34",5.22,1
Detroit,Michigan,"3,900",0.92,0.85,$44.62 ,"$92,820.00 ",4.02,14.21,18.23,"$75,899 ","$6,325 ",$15.63,$60.00,$8.25,$4.75,$6.00,$4.79,$2.05,$1.57,$0.92,$2.94,$3.51,$3.12,$12.24,$13.22,$16.73,$4.23,$1.64,$4.13,$3.84,$3.17,$2.76,$1.41,$1.88,$10.00,$1.86,$2.54,$8.00,$2.00,$60.00,$3.00,$1.24,$15.00,$1.28,"$25,000.00","$26,901.67",$249.06,$0.33,$70.67,$40.33,$31.67,$12.25,$450.00,"$13,500.00",$53.50,$40.00,$86.29,$103.43,"$1,266.67",$880.00,"$2,716.67","$1,666.67","$1,076.39","$1,130.21","$3,926.67",5.21,1
San Diego,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$20.00,$80.00,$9.97,$7.00,$8.00,$4.78,$2.40,$1.97,$1.10,$3.88,$4.36,$4.24,$12.97,$16.43,$17.41,$4.58,$1.89,$3.23,$3.95,$3.07,$2.47,$1.65,$1.92,$12.00,$3.19,$2.81,$10.00,$2.50,$75.00,$2.80,$1.86,$26.99,$1.61,"$26,000.00","$22,736.88",$190.11,$0.20,$73.07,$46.27,$19.84,$15.00,"$1,275.00","$14,638.10",$53.95,$42.06,$89.62,$99.95,"$2,574.42","$2,041.30","$4,270.79","$3,465.91","$8,702.59","$6,973.07","$5,718.84",4.97,1
Minneapolis,Minnesota,"1,600",0.57,0.53,$53.72 ,"$111,740.00 ",5.71,15.70,21.41,"$87,816 ","$7,318 ",$18.00,$66.94,$9.00,$6.00,$6.00,$5.37,$2.01,$1.83,$0.89,$3.24,$4.90,$3.10,$9.97,$9.79,$14.25,$6.34,$1.84,$5.26,$4.84,$2.60,$2.88,$1.74,$2.00,$14.00,$2.34,$2.92,$10.07,$2.50,$85.00,$3.75,$1.55,$30.00,$1.09,"$23,000.00","$21,936.88",$144.04,$0.15,$59.87,$71.00,$20.33,$12.00,"$1,200.00","$18,300.00",$40.67,$31.00,$76.27,$123.75,"$1,466.30","$1,103.89","$3,297.14","$2,214.29","$5,651.05","$3,767.37","$4,837.75",5.36,1
Tampa,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$21.00,$60.00,$10.00,$6.00,$7.00,$4.50,$2.12,$1.60,$1.09,$3.48,$3.65,$3.29,$13.62,$11.24,$14.30,$4.58,$1.60,$3.80,$4.13,$3.06,$2.75,$2.18,$2.22,$10.00,$1.64,$4.22,$7.75,$2.00,$66.00,$3.62,$2.49,$42.75,$1.16,"$24,000.00","$26,530.38",$161.79,$0.15,$63.19,$29.50,$36.24,$14.00,$943.75,"$19,500.00",$45.34,$30.50,$79.86,$99.25,"$1,995.95","$1,584.47","$3,420.94","$2,474.88","$3,630.13","$2,174.08","$5,326.71",5.06,1
Denver,Colorado,"3,540",1.28,1.18,$56.03 ,"$116,560.00 ",4.04,16.04,20.08,"$93,155 ","$7,763 ",$18.00,$72.50,$9.40,$6.00,$7.00,$4.92,$2.58,$2.03,$1.03,$4.02,$4.90,$3.17,$12.78,$14.49,$15.76,$5.34,$1.57,$4.57,$4.89,$2.47,$2.71,$1.74,$2.13,$16.99,$2.79,$3.44,$8.50,$3.00,$114.00,$3.00,$1.40,$26.25,$1.15,"$29,000.00","$23,472.71",$154.46,$0.28,$74.03,$73.18,$17.14,$14.00,"$1,469.44","$16,466.13",$60.08,$37.63,$85.33,$109.37,"$1,893.00","$1,601.38","$3,436.84","$2,571.58","$4,728.67","$3,242.33","$5,565.78",4.92,1
Brooklyn,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",$19.00,$87.50,$12.00,$8.00,$8.00,$4.88,$2.11,$1.67,$1.28,$3.70,$5.62,$3.35,$12.15,$14.10,$15.61,$4.42,$1.97,$5.21,$5.15,$3.49,$2.37,$2.00,$1.93,$16.00,$2.73,$2.79,$15.50,$2.75,$127.00,$3.80,$1.55,$32.50,$1.23,"$22,950.00","$23,271.43",$132.48,$0.30,$64.21,$59.00,$63.33,$17.00,"$2,375.00","$27,833.33",$59.45,$40.00,$89.23,$128.57,"$2,806.77","$2,028.57","$4,308.33","$2,875.00","$12,542.11","$9,569.12","$4,950.19",5.19,1
Queens,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",$15.00,$69.00,$8.00,$5.00,$6.50,$3.78,$2.17,$1.58,$1.04,$3.13,$6.11,$3.34,$12.49,$7.15,$16.75,$3.79,$1.65,$4.13,$3.74,$1.98,$2.71,$2.16,$2.00,$16.00,$3.10,$4.38,$13.75,$2.75,$127.00,$4.38,$1.55,$20.00,$1.19,"$22,564.50","$22,000.00",$88.24,$0.20,$61.25,$43.33,$25.00,$15.00,"$2,766.67","$20,000.00",$38.50,$33.75,$77.50,$80.62,"$2,027.60","$1,766.67","$3,550.00","$2,650.00","$15,547.57","$6,713.00","$5,000.00",5.43,0
Riverside,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$17.00,$70.00,$8.00,$7.00,$5.50,$3.88,$2.83,$2.06,$0.98,$3.04,$4.61,$3.81,$13.00,$12.47,$14.31,$3.93,$1.71,$4.19,$3.83,$3.99,$2.60,$1.50,$2.25,$10.50,$3.23,$4.16,$10.50,$1.75,$40.00,$5.00,$1.81,$36.00,$1.51,"$18,000.00","$23,500.00",$246.39,$0.12,$82.22,$40.00,$50.00,$14.00,"$1,500.00","$11,700.00",$53.71,$29.60,$79.29,$85.83,"$1,856.50","$1,650.00","$3,066.67","$2,633.33","$2,690.98","$2,152.78","$3,266.67",5.52,1
Baltimore,Maryland,"2,010",0.76,0.70,$57.19 ,"$118,960.00 ",4.51,16.21,20.72,"$94,311 ","$7,859 ",$14.50,$65.00,$9.00,$5.50,$8.00,$4.47,$2.28,$1.69,$0.81,$4.08,$3.92,$3.00,$11.01,$15.26,$17.84,$4.67,$1.45,$5.91,$4.74,$2.76,$3.22,$1.82,$2.54,$13.50,$2.77,$2.65,$9.99,$1.90,$74.00,$4.00,$2.49,$30.00,$1.06,"$24,000.00","$22,000.00",$153.94,$0.10,$74.33,$72.00,$18.50,$12.00,"$1,200.00","$22,532.20",$41.87,$25.71,$66.25,$110.28,"$1,559.96","$1,350.00","$3,225.00","$2,350.00","$1,076.39",$861.11,"$5,188.03",5.43,1
Portland,Oregon,"1,610",0.85,0.79,$53.40 ,"$111,090.00 ",8.31,15.65,23.96,"$84,473 ","$7,039 ",$16.00,$75.00,$8.00,$6.00,$7.00,$4.89,$2.43,$2.07,$0.94,$3.36,$5.85,$3.68,$14.21,$12.26,$17.54,$5.68,$1.92,$5.16,$5.75,$2.20,$2.24,$2.05,$2.04,$14.00,$2.61,$3.32,$10.04,$2.50,$100.00,$3.50,$1.55,$38.00,$1.41,"$28,000.00","$26,111.11",$207.12,$0.12,$72.97,$61.15,$17.62,$12.50,"$1,487.50","$18,285.71",$67.04,$46.59,$102.17,$127.29,"$1,760.26","$1,426.92","$3,242.64","$2,461.73","$5,085.95","$3,504.25","$4,599.72",5.14,1
Las Vegas,Nevada,850,0.6,0.56,$46.57 ,"$96,870.00 ",0.00,14.53,14.53,"$82,795 ","$6,900 ",$17.50,$65.00,$8.50,$5.00,$7.25,$5.48,$2.35,$1.95,$0.98,$3.22,$4.53,$3.14,$11.14,$10.50,$13.34,$4.62,$1.59,$3.32,$3.10,$2.12,$2.24,$1.44,$1.91,$12.99,$2.39,$2.58,$9.25,$2.50,$60.00,$3.88,$2.16,$33.70,$1.40,"$26,000.00","$25,575.00",$187.27,$0.54,$89.11,$25.97,$22.50,$13.50,"$1,036.00","$12,541.94",$46.25,$35.94,$73.24,$103.68,"$1,452.53","$1,380.48","$2,268.42","$2,010.18","$2,775.55","$2,680.21","$3,689.75",5.36,1
Sacramento,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$18.00,$63.50,$9.29,$6.00,$7.00,$4.65,$2.41,$1.63,$1.24,$4.41,$5.68,$4.04,$14.01,$17.17,$19.10,$5.41,$2.24,$3.63,$5.85,$3.95,$3.19,$2.58,$2.64,$12.00,$1.92,$2.06,$10.00,$2.75,$100.00,$4.50,$1.86,$24.50,$1.57,"$27,125.00","$25,528.75",$263.15,$0.20,$71.12,$58.75,$6.00,$12.00,"$1,300.00","$14,750.00",$40.44,$29.43,$73.78,$94.22,"$1,840.00","$1,700.00","$3,100.00","$2,500.00","$8,072.93","$3,729.17","$4,703.11",5,1
Orlando,Florida,"8,190",0.89,0.82,$48.45 ,"$100,780.00 ",0.00,14.82,14.82,"$85,844 ","$7,154 ",$20.00,$70.00,$9.00,$5.00,$5.00,$4.57,$2.21,$1.77,$1.12,$3.25,$4.58,$3.68,$10.46,$10.89,$13.59,$4.84,$1.44,$3.75,$3.49,$2.70,$2.54,$2.03,$1.68,$10.50,$2.31,$3.03,$7.00,$2.00,$50.00,$2.75,$2.17,$35.00,$1.15,"$23,195.00","$24,571.43",$174.48,$0.22,$74.52,$40.07,$17.50,$13.00,$975.00,"$7,983.33",$41.62,$31.38,$81.20,$94.17,"$1,756.14","$1,480.80","$3,116.67","$2,231.64","$3,309.90","$2,049.45","$5,192.09",5.41,1
San Jose,California,"29,420",1.67,1.55,$70.86 ,"$147,390.00 ",6.95,17.71,24.66,"$111,044 ","$9,254 ",$19.00,$80.00,$9.04,$7.00,$9.00,$5.17,$2.53,$2.29,$1.32,$4.25,$4.42,$4.56,$13.55,$13.08,$16.70,$5.06,$1.98,$3.45,$4.48,$2.65,$2.74,$2.03,$1.65,$15.00,$2.61,$2.47,$11.00,$2.50,$90.00,$3.75,$1.86,$30.00,$1.61,"$22,800.00","$22,571.43",$200.44,$0.19,$74.38,$71.85,$15.40,$15.00,"$1,987.50","$28,033.33",$46.17,$37.00,$76.69,$106.25,"$2,441.85","$2,177.67","$4,283.33","$3,758.33","$11,763.42","$8,137.52","$6,808.52",5.22,1
Cleveland,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$12.00,$70.50,$8.50,$5.75,$6.99,$4.42,$1.83,$1.72,$0.98,$2.99,$4.24,$2.94,$10.74,$16.53,$21.52,$4.72,$1.46,$2.49,$5.97,$3.98,$4.35,$2.18,$2.27,$15.00,$2.73,$4.37,$9.00,$2.50,$95.00,$4.00,$1.39,$35.00,$1.13,"$24,097.50","$23,183.33",$191.73,$0.12,$69.44,$36.90,$31.55,$12.00,$788.33,"$13,357.14",$50.22,$33.55,$86.11,$114.40,"$1,505.56",$981.20,"$2,600.00","$1,670.00","$2,152.78",,"$4,435.33",5.46,1
Pittsburgh,Pennsylvania,"6,370",1.1,1.02,$46.12 ,"$95,940.00 ",3.07,14.46,17.53,"$79,122 ","$6,593 ",$15.00,$60.00,$8.38,$4.00,$6.00,$4.12,$2.18,$1.57,$1.11,$2.95,$4.17,$3.31,$15.35,$13.44,$15.71,$5.71,$1.62,$7.47,$6.69,$3.81,$4.21,$2.25,$1.85,$15.50,$2.93,$4.14,$8.99,$2.75,$97.50,$4.50,$1.24,$20.50,$1.24,"$22,000.00","$21,000.30",$199.43,$0.10,$66.47,$42.38,$22.33,$11.25,"$1,200.00","$15,250.00",$47.39,$27.33,$84.54,$95.50,"$1,454.92","$1,001.79","$2,412.50","$1,718.18","$4,305.56","$1,829.86","$4,143.72",5.24,1
Austin,Texas,"13,780",1.06,0.98,$49.15 ,"$102,230.00 ",0.00,14.93,14.93,"$86,967 ","$7,247 ",$18.00,$69.00,$8.70,$6.00,$8.00,$4.81,$2.36,$1.79,$1.07,$2.75,$3.16,$3.59,$13.80,$11.69,$14.21,$4.70,$1.51,$4.01,$2.96,$2.56,$2.30,$1.64,$2.12,$15.00,$3.08,$3.34,$8.00,$1.38,$42.00,$2.50,$1.55,$29.49,$1.04,"$26,000.00","$24,269.44",$151.96,$0.05,$64.98,$46.93,$9.96,$12.75,"$1,098.67","$16,625.00",$57.07,$38.53,$89.30,$119.64,"$2,157.00","$1,519.12","$3,954.00","$2,541.85","$7,504.84","$3,260.57","$5,663.04",5.55,1
Cincinnati,Ohio,"3,650",0.68,0.63,$44.27 ,"$92,080.00 ",2.18,14.15,16.33,"$77,043 ","$6,420 ",$15.00,$60.00,$7.58,$4.50,$6.00,$3.91,$2.08,$1.65,$0.79,$2.56,$3.31,$2.63,$11.76,$12.81,$13.76,$4.17,$1.44,$3.71,$4.02,$2.28,$2.38,$1.54,$1.77,$12.99,$2.84,$2.72,$7.00,$2.00,$77.50,$4.38,$1.24,$25.00,$1.17,"$23,195.00","$22,731.25",$127.96,$0.17,$57.93,$27.22,$19.10,$12.25,"$1,166.67","$8,333.33",$37.00,$40.71,$73.00,$84.33,"$1,473.33","$1,083.33","$2,925.00","$1,485.00","$2,421.88","$1,399.31","$3,621.99",5.14,1
Manhattan,New York,"14,760",1.62,1.50,$61.63 ,"$128,200.00 ",5.44,16.77,22.21,"$99,727 ","$8,311 ",$12.00,$45.00,$7.50,$3.50,$5.50,$4.00,$1.92,$1.25,$0.81,$2.05,$3.58,$2.17,$7.72,$6.58,$12.17,$3.79,$1.08,$2.87,$3.90,$1.06,$1.85,$1.42,$1.10,$15.00,$2.50,$2.53,$7.46,$2.75,$30.00,$2.00,$0.93,$42.50,$1.10,"$23,500.00","$24,932.50",$155.19,$0.13,$56.25,,,$11.00,$553.50,"$6,750.00",$25.00,$30.00,$70.00,$100.00,$800.00,$950.00,,,,,"$5,166.67",5.43,0
